Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento (dias),Valor inicial,Valor bruto,IR,Valor líquido,Rentabilidade líquida (%)
BANCO GUANABARA S.A.,CDB,CDI_PCT,112.5,228,200000,228508.92,5701.78,222807.14,11.4
BANCO GUANABARA S.A.,CDB,CDI_PCT,112.5,225,200000,228131.15,5626.23,222504.92,11.25
"PEFISA S.A. - CR?DITO, FINANCIAMENTO E INVESTIMENTO",CDB,CDI_PCT,101.0,140,200000,228766.53,6472.47,222294.06,11.15
PICPAY,CDB,CDI_PCT,105.0,181,200000,227657.31,5531.46,222125.85,11.06
PICPAY,CDB,CDI_PCT,105.0,181,200000,227657.31,5531.46,222125.85,11.06
BANCO BTG PACTUAL,CDB,CDI_PCT,100.75,32,200000,228271.49,6361.08,221910.4,10.96
BANCO BTG PACTUAL,CDB,CDI_PCT,100.75,32,200000,228271.49,6361.08,221910.4,10.96
BANCO BTG PACTUAL,CDB,CDI_PCT,100.75,32,200000,228271.49,6361.08,221910.4,10.96
OURIBANK,CDB,CDI_PCT,96.0,140,200000,227250.05,6131.26,221118.79,10.56
PAGBANK,CDB,CDI_PCT,99.75,181,200000,226188.11,5237.62,220950.49,10.48
BANCO STELLANTIS,CDB,CDI_PCT,99.71,181,200000,226176.95,5235.39,220941.56,10.47
BANCO DAYCOVAL,CDB,CDI_PCT,96.0,32,200000,226853.32,6042.0,220811.32,10.41
BANCO DAYCOVAL,CDB,CDI_PCT,98.0,181,200000,225700.48,5140.1,220560.38,10.28
BANCO ABC BRASIL,CDB,CDI_PCT,98.0,181,200000,225700.48,5140.1,220560.38,10.28
BANCO ABC BRASIL,CDB,CDI_PCT,97.5,181,200000,225561.35,5112.27,220449.08,10.22
GOLDMAN SACHS DO BRASIL,CDB,CDI_PCT,97.5,181,200000,225561.35,5112.27,220449.08,10.22
BANCO TOPAZIO,CDB,CDI_PCT,97.0,181,200000,225422.3,5084.46,220337.84,10.17
BANCO DAYCOVAL,CDB,CDI_PCT,97.0,181,200000,225422.3,5084.46,220337.84,10.17
OURIBANK,CDB,CDI_PCT,97.0,181,200000,225422.3,5084.46,220337.84,10.17
PARANA BANCO,CDB,CDI_PCT,96.65,181,200000,225325.02,5065.0,220260.02,10.13
BANCO RODOBENS,CDB,CDI_PCT,95.29,181,200000,224947.41,4989.48,219957.93,9.98
BANCO GUANABARA S/A,CDB,CDI_PCT,100.5,211,200000,223405.62,4681.12,218724.49,9.36
BANCO BV,CDB,CDI_PCT,98.3,211,200000,222865.18,4573.04,218292.14,9.15
BANCO STELLANTIS,CDB,CDI_PCT,98.79,30,200000,223417.84,5269.01,218148.83,9.07
BANCO PAN,CDB,CDI_PCT,98.5,30,200000,223345.25,5252.68,218092.57,9.05
NEON FINANCEIRA,CDB,CDI_PCT,112.0,182,200000,222442.86,4488.57,217954.29,8.98
BANCO PAN,CDB,CDI_PCT,97.75,30,200000,223157.63,5210.47,217947.17,8.97
PAGBANK,CDB,CDI_PCT,97.75,30,200000,223157.63,5210.47,217947.17,8.97
BANCO DAYCOVAL,CDB,CDI_PCT,97.0,30,200000,222970.17,5168.29,217801.88,8.9
BANCO DAYCOVAL,CDB,CDI_PCT,97.0,30,200000,222970.17,5168.29,217801.88,8.9
