,Banco,Tipo_contrato,Taxa_tipo,Taxa%,Vencimento,Valor_inicial,Valor_bruto,IR,Valor_liquido,Rentabilidade_liquida%,Rentabilidade/Vencimento
1,BANCO GUANABARA S/A,CDB,CDI_PCT,112.0,196,200000,217783.52,3556.7,214226.82,7.113,0.03629081632653061
4,BANCO GUANABARA S.A.,CDB,CDI_PCT,112.5,225,200000,220409.52,4081.9,216327.61,8.164,0.036284444444444446
3,BANCO GUANABARA S.A.,CDB,CDI_PCT,112.5,228,200000,220678.72,4135.74,216542.97,8.271,0.036276315789473684
0,NEON FINANCEIRA,CDB,CDI_PCT,112.0,182,200000,216443.33,3288.67,213154.67,6.577,0.036137362637362634
2,BANCO GUANABARA S/A,CDB,CDI_PCT,112.0,219,200000,219646.09,3929.22,215716.87,7.858,0.03588127853881278
12,WILL BANK,CDB,PRE,16.4,192,200000,216632.23,3326.45,213305.78,6.653,0.03465104166666667
11,OMNI S/A CFI,CDB,PRE,16.4,184,200000,215912.37,3182.47,212729.9,6.365,0.034592391304347825
5,NEON FINANCEIRA,CDB,CDI_PCT,110.0,154,200000,213533.37,3045.01,210488.37,5.244,0.03405194805194805
18,PICPAY,CDB,CDI_PCT,105.0,181,200000,215252.83,3050.57,212202.26,6.101,0.03370718232044199
15,PICPAY,CDB,CDI_PCT,105.0,181,200000,215252.83,3050.57,212202.26,6.101,0.03370718232044199
9,PARANA,CDB,PRE,16.5,149,200000,212865.61,2894.76,209970.85,4.985,0.033456375838926175
10,OMNI S/A CFI,CDB,PRE,16.5,135,200000,211622.34,2615.03,209007.31,4.504,0.03336296296296296
24,BANCO TOPAZIO,CDB,CDI_PCT,103.5,182,200000,215149.7,3029.94,212119.76,6.06,0.0332967032967033
7,BANCO GUANABARA S/A,CDB,CDI_PCT,110.0,84,200000,207157.69,1610.48,205547.21,2.774,0.033023809523809525
22,NEON FINANCEIRA,CDB,CDI_PCT,102.0,182,200000,214922.21,2984.44,211937.77,5.969,0.0327967032967033
